emp_no,first_name,last_name,title,from_date
10396,Sibyl,Rahier,Senior Engineer,1/11/1986
10397,Irena,Reutenauer,Technique Leader,5/21/1993
10402,Volkmar,Ebeling,Technique Leader,1/2/1987
10404,Prodip,Rosti,Senior Engineer,8/28/1996
10407,Ulf,Siepmann,Senior Staff,10/30/1999
10413,Danel,Impagliazzo,Senior Staff,12/26/1997
10414,Yinlin,Alpin,Senior Engineer,5/30/1990
10418,Candida,Porotnikoff,Staff,10/4/1996
10422,Greger,Rubsam,Engineer,1/3/1995
10426,Arunas,Luce,Technique Leader,7/6/1985
10429,Martien,Improta,Senior Engineer,9/23/1988
10432,Hisao,Tiemann,Senior Staff,8/12/1996
10433,Reuven,Dengi,Engineer,11/27/1999
10442,Volkmar,Unno,Senior Staff,2/12/1999
10443,Shichao,Litvinov,Senior Engineer,8/1/1989
10451,Bodh,Ranta,Senior Engineer,3/12/1998
10453,Tsvetan,Matzel,Senior Staff,4/2/1993
10463,Ung,Zaiane,Staff,2/17/1994
10466,Jiakeng,Himler,Staff,8/22/1997
10477,Guoxiang,Trogemann,Senior Engineer,5/26/2002
10486,Amstein,Kossowski,Senior Engineer,10/7/1996
10494,Yakkov,Servieres,Senior Engineer,12/17/2000
10497,Pramod,Rabehasaina,Senior Engineer,1/22/1999
10499,Maik,Luft,Senior Staff,7/31/2001
10503,Dannz,Pell,Engineer,3/13/1997
10504,Xiong,Varker,Staff,10/19/1999
10509,Abdelwaheb,Riesenhuber,Senior Staff,10/6/1997
10512,Udi,Gihr,Senior Staff,11/28/1998
10517,Tiina,Speek,Senior Staff,12/25/1990
10519,Yonghoan,Alencar,Senior Staff,12/5/2000
10522,Marke,Cesareni,Senior Staff,12/12/1995
10529,Ymte,Yetto,Assistant Engineer,7/4/1997
10531,Oguz,Gimbel,Staff,3/16/1995
10538,Przemyslawa,Falby,Senior Engineer,7/23/1987
10541,Godehard,Eiter,Staff,2/28/1986
10542,Yannis,Couchot,Senior Engineer,2/7/1992
10548,Ramalingam,Gunderson,Senior Staff,7/4/1993
10552,Kazuhito,Shiratori,Senior Engineer,8/31/1998
10564,Jianhao,Thisen,Senior Engineer,11/22/2000
10568,Gao,Poulakidas,Staff,7/8/1995
10575,Theirry,Yeung,Senior Engineer,10/4/1988
10586,Kirk,Vuskovic,Senior Engineer,2/4/2000
10591,Hidde,Hettesheimer,Staff,6/18/1987
10593,Falguni,Kenevan,Senior Engineer,9/12/1999
10596,Sanjit,Coors,Senior Staff,5/23/2001
10603,Wayne,Restivo,Staff,7/20/1995
10608,Adhemar,Talmor,Senior Engineer,5/25/1986
10610,Irena,Roccetti,Engineer,3/30/1997
10614,Gila,Ozeri,Senior Engineer,3/3/1998
10615,Keung,Delgrande,Senior Staff,3/10/2002
10617,Hidekazu,Angel,Senior Staff,10/30/1991
10623,Aleksander,Danlos,Senior Engineer,1/15/1999
10624,Sham,Gyorkos,Technique Leader,5/7/1990
10628,Krisda,Krogh,Senior Engineer,3/14/2001
10629,Lalit,Francisci,Staff,10/20/1999
10630,Bezalel,Katzenelson,Engineer,1/13/1997
10631,Inderjeet,Chaudhuri,Engineer,10/18/1994
10634,Nahid,Chepyzhov,Senior Engineer,11/10/2000
10636,Saeko,Porotnikoff,Staff,9/25/1996
10637,Heejo,Frolund,Senior Staff,7/11/1998
10639,Pramod,Erol,Senior Engineer,10/26/1999
10641,Guozhong,Zucker,Engineer,3/21/1999
10642,Hirochika,Narlikar,Engineer,10/5/1998
10653,Otmar,Feinberg,Senior Engineer,4/30/1987
10667,Makato,Cusworth,Senior Staff,7/28/1999
10671,Parviz,Rebaine,Senior Staff,9/13/2001
10672,Bluma,Zeilberger,Senior Engineer,9/29/1991
10676,Valeri,Danley,Engineer,9/4/1999
10683,Guiseppe,Stranks,Senior Engineer,6/23/1997
10693,Berhard,Daescu,Senior Staff,1/8/1991
10694,Rildo,Straney,Senior Staff,1/25/1993
10696,Unal,Fendler,Technique Leader,9/9/1991
10702,Bader,Szemeredi,Senior Engineer,1/14/1991
10712,Uma,Koprowski,Senior Engineer,8/18/2001
10718,Adib,Rullman,Senior Engineer,7/21/1997
10726,Zita,Minakawa,Senior Engineer,2/24/2001
10731,Fumitaka,Peak,Senior Staff,2/20/1994
10734,Sachar,Erdi,Engineer,12/19/1995
10741,Sven,Huttel,Senior Staff,1/6/1997
10742,Shim,Wiegley,Technique Leader,4/3/1997
10745,Poorav,Ranze,Senior Engineer,1/22/1997
10747,Falguni,Khalid,Senior Engineer,10/8/1990
10749,King,Brendel,Senior Engineer,9/26/1990
10750,Roddy,Demeyer,Technique Leader,11/6/1998
10751,Jordanka,Ushiama,Engineer,12/14/1999
10764,Yunming,Beetstra,Senior Engineer,11/27/1998
10767,Monique,Doering,Staff,7/15/1997
10768,Ishfaq,Candan,Senior Engineer,7/4/1990
10777,Mizuhito,Kemmerer,Senior Engineer,3/16/1996
10778,Selwyn,Merey,Senior Staff,7/4/1986
10780,Goncalo,Staudhammer,Engineer,8/1/1994
10782,Kish,Perna,Staff,7/6/1997
10791,Tadahiko,Sgarro,Senior Engineer,7/31/1995
10795,Supot,Naudin,Senior Staff,5/3/1999
10801,Uinam,Zschoche,Engineer,4/7/1998
10803,Katsuyuki,Velasco,Senior Engineer,4/20/1997
10808,Chenxi,Leijenhorst,Senior Engineer,3/7/1987
10811,Ashish,Fortenbacher,Engineer,7/8/1997
10813,Shalesh,Shumilov,Senior Staff,4/27/1990
10814,Nidapan,Dymetman,Senior Staff,7/17/1998
10826,Arnd,Anandan,Senior Engineer,1/22/1993
10827,Willard,Danley,Staff,11/7/1996
10829,Alper,Narahara,Staff,7/21/1993
10830,Fen,Fiebach,Senior Staff,8/23/1997
10831,Toong,Driscoll,Technique Leader,2/22/1998
10833,Krisda,Gecseg,Technique Leader,12/23/1998
10834,Huiqun,Rajcani,Engineer,11/24/1999
10835,Tomoyuki,Kermarrec,Engineer,8/22/1995
10836,Jianhua,Leivant,Senior Staff,8/10/1987
10844,Dipayan,Koprowski,Engineer,4/25/1997
10846,Tokuyasu,Serre,Senior Engineer,1/17/1995
10847,Theirry,Danley,Senior Staff,7/24/1992
10848,Fen,Bratsberg,Senior Engineer,4/20/1992
10849,Makato,Mayerwieser,Engineer,6/24/2001
10854,Jagoda,Nannarelli,Engineer,7/13/1998
10858,Kenroku,Gonthier,Senior Engineer,1/1/2002
10867,Billur,Gyorkos,Engineer,3/23/1997
10871,Aram,Gilg,Staff,6/16/1999
10872,Karoline,Speel,Senior Staff,9/5/1996
10873,Sukumar,Wegerle,Staff,3/23/1994
10876,Vincent,Papastamatiou,Staff,1/29/1995
10878,Lakshmi,Deville,Staff,4/25/1997
10879,Muzhong,Chleq,Senior Engineer,8/15/1985
10882,Fun,Heuser,Engineer,4/29/1999
10883,Shimshon,Champarnaud,Engineer,12/28/1996
10885,Rayond,Cronau,Senior Staff,8/19/1991
10887,Lunjin,DeMori,Senior Engineer,3/17/1989
10895,Vishwani,Petersohn,Staff,4/26/1986
10900,Ferdinand,Prenel,Senior Engineer,9/7/1995
10906,Munehiro,Carrere,Staff,10/18/1998
10909,Georgi,Atchley,Senior Engineer,12/26/2000
10912,Oscal,Fasbender,Senior Staff,4/23/1991
10913,Narain,Thummel,Staff,10/25/1998
10918,Susumu,Reghbati,Staff,1/29/1990
10920,Ronghao,Narahara,Senior Staff,2/23/1998
10921,Mara,Bahi,Senior Engineer,7/27/1995
10922,Kyoichi,Wossner,Staff,2/2/1996
10924,Hironoby,Atchley,Senior Staff,8/14/1997
10926,Leni,Eppinger,Senior Engineer,4/30/1995
10927,Gal,Scallan,Senior Staff,9/12/1993
10930,Arch,Minakawa,Senior Engineer,11/22/1998
10932,Avishai,Picci,Senior Engineer,9/9/1999
10936,Mountaz,Schicker,Senior Staff,5/8/1996
10940,Aleksander,Fioravanti,Engineer,6/30/1997
10942,Toshimitsu,Larfeldt,Engineer,1/21/1996
10943,Berna,Skafidas,Senior Engineer,5/22/1999
10944,Remko,Zyda,Senior Engineer,9/7/1995
10947,Gor,Usery,Senior Staff,11/15/2001
10948,Shigehito,Brodie,Senior Engineer,9/30/1996
10949,Shigeichiro,Wroclawski,Senior Staff,6/28/1996
10956,Arno,Picel,Engineer,12/2/1995
10965,Eckart,Braunschweig,Senior Staff,7/29/1986
10969,Premal,Noriega,Senior Engineer,5/12/1994
10971,Isamu,Vadhan,Technique Leader,7/30/1991
10974,Muneo,Papsdorf,Senior Engineer,5/17/1999
10985,Chiradeep,Furedi,Engineer,2/11/1999
10986,Masako,Schiper,Technique Leader,10/11/1985
10987,Flemming,Baezner,Engineer,5/21/1997
10988,Chinya,Deyuan,Senior Engineer,6/19/1985
10989,Sumali,Candan,Senior Staff,7/20/1991
10990,Shin,Foote,Technique Leader,8/6/1990
10996,Matk,Rahimi,Senior Staff,2/7/1996
11002,Bluma,Ulupinar,Senior Staff,11/21/1998
11004,JoAnna,Decleir,Senior Engineer,1/18/1998
11009,Alper,Axelband,Senior Staff,9/9/1993
11012,Taegyun,Speckmann,Staff,7/6/1996
11019,Leon,Huttel,Senior Engineer,5/24/1997
11021,Srinidhi,Henders,Staff,2/2/1998
11024,Manton,Collavizza,Staff,4/5/1995
11027,Remzi,Cappello,Senior Engineer,5/6/1996
11028,Miyeon,Krider,Senior Engineer,6/18/1991
11031,Ottavia,Walstra,Senior Staff,10/24/1993
11032,Erez,Schaaf,Staff,6/6/1994
11037,Lansing,Maliniak,Senior Engineer,1/28/1995
11038,Jinya,Beidas,Senior Staff,7/15/1992
11042,Gou,Breugel,Senior Engineer,6/21/2000
11048,Jaques,Demke,Senior Staff,5/27/1999
11050,Elvis,Katiyar,Senior Staff,5/6/1991
11051,Przemyslawa,Erol,Senior Engineer,3/26/2000
11056,Palash,Speel,Staff,7/1/1997
11060,Genevieve,Pokrovskii,Staff,5/3/1991
11061,Pintsang,Erni,Senior Staff,2/19/2002
11064,Shawna,Vieri,Senior Engineer,2/27/2002
11066,Shaz,Langford,Senior Staff,4/30/1996
11070,Adib,Raney,Senior Engineer,7/24/1991
11071,Kwan,Sigstam,Senior Engineer,5/23/2001
11075,Karsten,Belinskaya,Senior Engineer,5/6/1998
11077,Hideyuki,Merro,Senior Staff,4/30/1998
11079,Piyush,Garigliano,Senior Engineer,5/26/2001
11081,Barry,Boyle,Senior Staff,6/17/1994
11083,Shimshon,Ducloy,Senior Staff,10/4/2000
11084,Greger,Senzako,Senior Engineer,5/31/1999
11085,Hailing,Thummel,Senior Engineer,2/10/1996
11087,Changho,Jayawardene,Senior Engineer,3/18/1998
11089,Conal,Henders,Senior Staff,8/13/1994
11091,Souichi,Ramsay,Engineer,9/11/1999
11092,Narain,Stamatiou,Staff,4/5/1999
11098,Arnd,Covnot,Engineer,1/8/1997
11100,Berna,Cochrane,Senior Staff,10/13/1993
11106,Aris,Iwayama,Senior Engineer,8/30/1997
11110,Valeska,Birjandi,Staff,11/14/1987
11111,Udi,Zastre,Assistant Engineer,12/25/1994
11112,Boaz,Mukaidono,Staff,4/28/1995
11113,Shahab,Peng,Senior Staff,11/30/1991
11114,Tse,Felcyn,Staff,2/13/1993
11119,Ramzi,Luga,Engineer,6/21/1994
11121,Vugranam,Kakkad,Senior Engineer,11/1/1999
11130,Xinyu,Menhoudj,Senior Staff,2/17/1997
11132,Kristin,Harnett,Senior Engineer,8/30/1999
11133,Nalini,Azulay,Technique Leader,3/6/1994
11134,Sachar,Rajcani,Senior Engineer,5/19/2002
11137,Hugh,Luca,Engineer,3/16/1995
11139,Bogdan,Homond,Senior Staff,5/11/1995
11143,Yongdong,Rosen,Engineer,5/9/1996
11144,Carrsten,Heinisuo,Senior Staff,7/19/2002
11145,Jinxi,Baak,Engineer,4/23/1999
11146,Ishfaq,Masand,Senior Staff,8/21/1997
11147,Ayonca,Nitsch,Engineer,12/4/1997
11148,Zhanqiu,Botman,Senior Staff,2/8/1997
11156,Tomoyuki,Armand,Staff,9/7/1995
11158,Masaki,Hagimont,Senior Engineer,4/20/2002
11162,Kauko,Narlikar,Senior Engineer,3/28/1990
11168,Shmuel,Tetzlaff,Senior Staff,7/15/2001
11170,Minghong,Cannard,Senior Engineer,6/20/1990
11174,Akhilish,Milicia,Engineer,6/7/1999
11177,Chrisa,dAstous,Senior Engineer,9/11/1999
11180,Mitsuyuki,Bojadziev,Senior Engineer,6/10/1992
11181,Hausi,Cullers,Engineer,11/3/1997
11185,Aloys,Baezner,Senior Staff,1/26/2000
11186,Kshitij,Stasinski,Senior Engineer,12/9/2000
11189,Dante,Bodoff,Senior Staff,9/7/1991
11192,Apostol,Bahr,Engineer,4/7/1998
11195,Masanao,Lovengreen,Senior Engineer,6/13/1991
11197,Tadahiro,Fordan,Senior Staff,9/12/1989
11201,Jouko,Masaki,Staff,10/31/1995
11203,Sakthirel,Yetto,Senior Staff,1/6/1996
11204,Diederik,Covnot,Technique Leader,9/18/1985
11206,Steen,Sury,Staff,5/7/1993
11207,Saeed,Gips,Engineer,1/31/1999
11208,Saniya,Valtorta,Technique Leader,11/17/1994
11211,Yurij,Rissland,Senior Engineer,9/17/1985
11213,Vugranam,Munoz,Technique Leader,2/4/1999
11217,Kellie,Mawatari,Senior Engineer,3/11/1990
11218,Kirk,Hemaspaandra,Technique Leader,4/6/1994
11221,Alselm,Hammerschmidt,Engineer,8/22/1989
11229,Gretta,Ramamoorthy,Senior Engineer,7/25/2000
11232,Hidefumi,Crelier,Senior Staff,8/1/2000
11233,Sanjit,Waschkowski,Senior Engineer,12/14/1998
11240,Kiam,Condotta,Engineer,1/6/1997
11243,Udi,Desikan,Assistant Engineer,1/20/2000
11249,Randi,Cyre,Engineer,9/22/1994
11251,Bezalel,Chinal,Senior Staff,6/15/1993
11253,Koldo,Pokrovskii,Senior Engineer,5/22/2000
11254,Danel,Rindone,Staff,12/19/1998
11258,Aris,Maccarone,Senior Staff,3/28/1998
11266,Florina,Rohrbach,Senior Engineer,5/12/2002
11267,Shaunak,Zaumen,Senior Engineer,4/9/1996
11268,Aimee,Petersohn,Senior Engineer,10/25/1995
11274,Masanao,Nicolson,Staff,12/13/1999
11275,Hitomi,Eppinger,Senior Engineer,4/25/1998
11288,Domenico,Eastman,Senior Staff,6/3/1997
11289,Chuanti,Cherinka,Senior Engineer,2/23/1996
11290,Visit,Dredge,Engineer,5/13/1999
11291,Gino,Glowinski,Senior Engineer,10/20/1985
11292,Souichi,Sichman,Senior Engineer,2/12/1996
11294,Tru,Segond,Senior Engineer,6/13/1999
11295,Abdelkader,Lanzelotte,Senior Staff,5/15/1990
11296,Hironobu,Kenevan,Senior Engineer,9/26/1994
11297,Geraldo,Levergood,Engineer,2/16/1991
11300,Lillian,Fontet,Engineer,9/10/1992
11301,Mingzeng,Oxenboll,Senior Staff,5/23/1996
11302,Shem,Senzako,Staff,7/1/1991
11315,Neven,Meriste,Staff,1/18/2000
11317,Shigeaki,Hagimont,Senior Staff,9/7/2000
11319,Pranas,Marrakchi,Assistant Engineer,11/1/1998
11320,Atilio,McAlpine,Senior Staff,4/6/1998
11322,Nathalie,Pocchiola,Senior Engineer,7/8/1999
11324,Kauko,Billingsley,Senior Engineer,8/29/1985
11325,Samphel,Rossi,Engineer,1/10/1999
11326,Munenori,Plesums,Senior Engineer,2/19/1999
11338,Kwangsub,Hanratty,Senior Staff,10/28/1998
11339,Flemming,Massonet,Senior Engineer,12/19/1989
11340,Aris,Bala,Senior Engineer,9/11/1998
11343,Susanne,Erez,Senior Engineer,2/27/1995
11347,Anneli,Jonsson,Senior Engineer,4/19/1992
11349,Yurii,Hammerschmidt,Engineer,6/28/1999
11360,Fen,Schach,Senior Staff,1/12/1997
11365,Toshimi,Shinomoto,Engineer,12/18/1997
11372,Susanta,Vilarrasa,Senior Staff,5/14/1993
11373,Yongmao,Keohane,Senior Staff,7/18/2000
11376,Valery,Suomi,Senior Staff,3/14/1994
11380,Kenroku,Pelc,Senior Engineer,4/18/2001
11385,Shiv,Ullian,Engineer,8/8/1999
11386,Alselm,Assaf,Senior Engineer,11/29/1993
11387,Jordanka,Kalloufi,Engineer,5/11/1997
11393,Junsik,Junot,Senior Engineer,4/30/1992
11396,Anneke,Servieres,Engineer,2/4/1997
11398,Oscar,Peir,Senior Staff,9/7/2001
11401,Huan,Merey,Staff,4/15/1995
11404,Bedrich,Borovoy,Technique Leader,9/25/1990
11406,Eberhardt,Gini,Senior Staff,3/13/1996
11410,Gro,Vendrig,Engineer,10/25/1999
11414,Eishiro,Pearson,Senior Staff,1/3/1996
11415,Sanjiv,Anido,Engineer,12/7/1996
11417,Anneli,Cyne,Technique Leader,12/21/1992
11418,Satosi,Cooley,Senior Staff,12/30/1991
11420,Tsutomu,Lalonde,Senior Staff,1/31/1992
11421,Josyula,Msuda,Senior Engineer,9/2/1995
11423,Guangming,Kopetz,Staff,10/13/1998
11425,Renee,Crelier,Senior Engineer,8/27/1990
11428,Remco,Reinhart,Engineer,7/31/1994
11431,Youngkon,Picht,Senior Staff,9/16/1991
11441,Marlo,Aingworth,Senior Staff,3/27/1987
11446,Naftali,Narahara,Senior Engineer,4/6/1999
11449,Kotesh,Asser,Senior Engineer,2/3/2000
11451,Eben,Rajaraman,Senior Engineer,5/20/1990
11452,Shigehito,Luby,Senior Staff,8/26/2001
11459,Duke,Suomi,Senior Staff,5/2/1992
11460,Mana,Maraist,Senior Engineer,5/28/2001
11461,Kish,Cronau,Senior Engineer,8/18/1992
11468,Navin,Maksimenko,Staff,3/19/1996
11469,Guttorm,Giaccio,Senior Engineer,9/8/1999
11474,Gennady,Akazan,Engineer,12/29/1993
11476,Manton,Yoshizawa,Staff,1/15/1994
11477,Fox,Narahari,Engineer,7/28/1996
11479,Shridhar,Pleszkun,Staff,2/10/1999
11501,Karsten,Ranum,Senior Staff,10/24/1999
11503,Nathan,Picht,Senior Engineer,4/9/2002
11506,Rance,Picel,Staff,4/8/1996
11509,Aleksander,Feldhoffer,Senior Engineer,11/11/1992
11513,Otmar,Mahnke,Senior Staff,8/25/1998
11515,Ulf,Basawa,Staff,9/21/1998
11518,Jinxi,Oxman,Senior Staff,9/22/1999
11519,Halsur,Chinen,Senior Staff,6/12/1997
11521,Eldridge,Eastman,Staff,10/17/1995
11523,Yuguang,Pezzoli,Engineer,12/23/1998
11524,Xiadong,Standera,Senior Engineer,7/5/1996
11526,Tonny,Impagliazzo,Senior Staff,2/22/1998
11527,Alagu,Boyle,Staff,1/28/1999
11528,Zito,Dolinsky,Technique Leader,6/15/1987
11531,Radhika,Motley,Technique Leader,11/4/1992
11533,Vitaly,Lorch,Technique Leader,8/20/1991
11537,DAIDA,Pehl,Senior Staff,7/6/1986
11540,Chanjung,Portugali,Senior Engineer,7/2/2002
11554,Subhash,Taubenfeld,Staff,7/15/1998
11555,Kotesh,Perfilyeva,Senior Staff,10/14/1991
11562,Rimli,Alencar,Engineer,6/30/1988
11567,Teiji,Mitzlaff,Senior Staff,2/3/1996
11568,Martins,Fujisaki,Senior Engineer,3/13/2000
11573,Pranas,Hutton,Senior Engineer,2/4/1995
11575,Godehard,Plotkin,Engineer,5/31/2000
11577,Mayumi,Deyuan,Senior Engineer,9/23/1998
11578,Edwin,Rosti,Senior Engineer,11/22/1991
11581,Patricio,Rosenbaum,Senior Engineer,11/13/2001
11587,Shem,Zambonelli,Senior Engineer,4/24/1989
11588,Kaijung,Panangaden,Senior Staff,12/24/1994
11589,Gina,Plessier,Senior Engineer,5/6/2001
11595,Takanari,Kamber,Senior Staff,9/8/1992
11596,Yannik,Gunderson,Staff,11/23/1995
11597,Yongdong,Talmon,Senior Engineer,2/1/1990
11602,Somnath,Malabarba,Senior Staff,6/21/2001
11603,Herb,Swen,Senior Staff,4/13/1994
11606,Perry,Pepe,Senior Staff,9/27/1999
11607,Tomokazu,Foong,Engineer,4/19/1995
11615,Shem,Isaak,Senior Staff,8/28/2000
11616,Zhilian,Brendel,Engineer,12/30/1998
11624,Adil,Gammage,Senior Engineer,7/15/1996
11628,Fan,Malinowski,Senior Engineer,10/23/1997
11636,Fumitaka,Shiratori,Engineer,11/16/1992
11640,Valeri,Coorg,Senior Engineer,9/26/1988
11641,Chikako,Rothenberg,Senior Engineer,6/18/1991
11644,Sanjit,Zaiane,Assistant Engineer,8/9/1995
11646,Lobel,Rubsam,Engineer,12/15/1999
11647,Magy,Nitsche,Senior Engineer,5/11/1993
11649,Shen,Bernardinello,Technique Leader,12/11/1992
11660,Gill,Stenning,Senior Staff,11/22/1994
11664,Oksana,Brizzi,Senior Staff,9/7/1990
11667,Kristian,Marchegay,Senior Staff,9/7/1996
11673,Henk,Felder,Technique Leader,6/10/1989
11676,Valeri,Ferriere,Engineer,7/15/1998
11681,Fumitake,Benzmuller,Senior Engineer,8/28/1995
11684,Oksana,Gide,Senior Staff,2/21/1995
11686,Nadjib,Srimani,Senior Staff,4/20/2000
11690,Domenick,Raczkowsky,Staff,9/23/1997
11693,Hideo,Coorg,Senior Engineer,8/24/1991
11696,Dante,Rothe,Senior Staff,10/23/1994
11705,Arve,Hofmeyr,Senior Staff,10/30/1990
11708,Chenye,Angot,Staff,9/18/1992
11713,Danel,Heusch,Senior Engineer,10/3/2000
